Index;Sender;Receiver;Unit;Converter;NameDE;NameEN;MqttTopic;DescriptionDE;DescriptionEN;Default;MinValue;MaxValue;ValuesDE;ValuesEN;ReadOnly
1781;180;6A0;;TimeRange;Warmwasserprogramm Mo-Fr Zeitspanne 2;DWH Program MON-FRI Time Period 2;/program/dwh/weekdays/p2;;;---;;;;;
1782;180;6A0;;TimeRange;Warmwasserprogramm Mo-Fr Zeitspanne 3;DWH Program MON-FRI Time Period 3;/program/dwh/weekdays/p3;;;---;;;;;
1790;180;6A0;;TimeRange;Warmwasserprogramm Sa-So Zeitspanne 1;DWH Program SAT-SUN Time Period 1;/program/dwh/weekend/p1;;;00:00-24:00;;;;;
1791;180;6A0;;TimeRange;Warmwasserprogramm Sa-So Zeitspanne 2;DWH Program SAT-SUN Time Period 2;/program/dwh/weekend/p2;;;---;;;;;
1792;180;6A0;;TimeRange;Warmwasserprogramm Sa-So Zeitspanne 3;DWH Program SAT-SUN Time Period 3;/program/dwh/weekend/p3;;;---;;;;;
17A0;180;6A0;;TimeRange;Warmwasserprogramm Mo-So Zeitspanne 1;DWH Program MON-SUN Time Period 1;/program/dwh/all/p1;;;00:00-24:00;;;;;
17A1;180;6A0;;TimeRange;Warmwasserprogramm Mo-So Zeitspanne 2;DWH Program MON-SUN Time Period 2;/program/dwh/all/p2;;;---;;;;;
17A2;180;6A0;;TimeRange;Warmwasserprogramm Mo-So Zeitspanne 3;DWH Program MON-SUN Time Period 3;/program/dwh/all/p3;;;---;;;;;
1D10;180;6A0;;TimeRange;Lüfterprogramm Montag Zeitspanne 1;Fan Program Monday Time Period 1;/program/fan/mon/p1;;;00:00-24:00;;;;;
1D11;180;6A0;;TimeRange;Lüfterprogramm Montag Zeitspanne 2;Fan Program Monday Time Period 2;/program/fan/mon/p2;;;---;;;;;
1D12;180;6A0;;TimeRange;Lüfterprogramm Montag Zeitspanne 3;Fan Program Monday Time Period 3;/program/fan/mon/p3;;;---;;;;;
1D20;180;6A0;;TimeRange;Lüfterprogramm Dienstag Zeitspanne 1;Fan Program Tuesday Time Period 1;/program/fan/tue/p1;;;00:00-24:00;;;;;
1D21;180;6A0;;TimeRange;Lüfterprogramm Dienstag Zeitspanne 2;Fan Program Tuesday Time Period 2;/program/fan/tue/p2;;;---;;;;;
1D22;180;6A0;;TimeRange;Lüfterprogramm Dienstag Zeitspanne 3;Fan Program Tuesday Time Period 3;/program/fan/tue/p3;;;---;;;;;
1D30;180;6A0;;TimeRange;Lüfterprogramm Mittwoch Zeitspanne 1;Fan Program Wednesday Time Period 1;/program/fan/wed/p1;;;00:00-24:00;;;;;
1D31;180;6A0;;TimeRange;Lüfterprogramm Mittwoch Zeitspanne 2;Fan Program Wednesday Time Period 2;/program/fan/wed/p2;;;---;;;;;
1D32;180;6A0;;TimeRange;Lüfterprogramm Mittwoch Zeitspanne 3;Fan Program Wednesday Time Period 3;/program/fan/wed/p3;;;---;;;;;
1D40;180;6A0;;TimeRange;Lüfterprogramm Donnerstag Zeitspanne 1;Fan Program Thursday Time Period 1;/program/fan/thu/p1;;;00:00-24:00;;;;;
1D41;180;6A0;;TimeRange;Lüfterprogramm Donnerstag Zeitspanne 2;Fan Program Thursday Time Period 2;/program/fan/thu/p2;;;---;;;;;
1D42;180;6A0;;TimeRange;Lüfterprogramm Donnerstag Zeitspanne 3;Fan Program Thursday Time Period 3;/program/fan/thu/p3;;;---;;;;;
1D50;180;6A0;;TimeRange;Lüfterprogramm Freitag Zeitspanne 1;Fan Program Friday Time Period 1;/program/fan/fri/p1;;;00:00-24:00;;;;;
1D51;180;6A0;;TimeRange;Lüfterprogramm Freitag Zeitspanne 2;Fan Program Friday Time Period 2;/program/fan/fri/p2;;;---;;;;;
1D52;180;6A0;;TimeRange;Lüfterprogramm Freitag Zeitspanne 3;Fan Program Friday Time Period 3;/program/fan/fri/p3;;;---;;;;;
1D60;180;6A0;;TimeRange;Lüfterprogramm Samstag Zeitspanne 1;Fan Program Saturday Time Period 1;/program/fan/sat/p1;;;00:00-24:00;;;;;
1D61;180;6A0;;TimeRange;Lüfterprogramm Samstag Zeitspanne 2;Fan Program Saturday Time Period 2;/program/fan/sat/p2;;;---;;;;;
1D62;180;6A0;;TimeRange;Lüfterprogramm Samstag Zeitspanne 3;Fan Program Saturday Time Period 3;/program/fan/sat/p3;;;---;;;;;
1D70;180;6A0;;TimeRange;Lüfterprogramm Sonntag Zeitspanne 1;Fan Program Sunday Time Period 1;/program/fan/sun/p1;;;00:00-24:00;;;;;
1D71;180;6A0;;TimeRange;Lüfterprogramm Sonntag Zeitspanne 2;Fan Program Sunday Time Period 2;/program/fan/sun/p2;;;---;;;;;
1D72;180;6A0;;TimeRange;Lüfterprogramm Sonntag Zeitspanne 3;Fan Program Sunday Time Period 3;/program/fan/sun/p3;;;---;;;;;
1D80;180;6A0;;TimeRange;Lüfterprogramm Mo-Fr Zeitspanne 1;Fan Program MON-FRI Time Period 1;/program/fan/weekdays/p1;;;00:00-24:00;;;;;
1D81;180;6A0;;TimeRange;Lüfterprogramm Mo-Fr Zeitspanne 2;Fan Program MON-FRI Time Period 2;/program/fan/weekdays/p2;;;---;;;;;
1D82;180;6A0;;TimeRange;Lüfterprogramm Mo-Fr Zeitspanne 3;Fan Program MON-FRI Time Period 3;/program/fan/weekdays/p3;;;---;;;;;
1D90;180;6A0;;TimeRange;Lüfterprogramm Sa-So Zeitspanne 1;Fan Program SAT-SUN Time Period 1;/program/fan/weekend/p1;;;00:00-24:00;;;;;
1D91;180;6A0;;TimeRange;Lüfterprogramm Sa-So Zeitspanne 2;Fan Program SAT-SUN Time Period 2;/program/fan/weekend/p2;;;---;;;;;
1D92;180;6A0;;TimeRange;Lüfterprogramm Sa-So Zeitspanne 3;Fan Program SAT-SUN Time Period 3;/program/fan/weekend/p3;;;---;;;;;
1DA0;180;6A0;;TimeRange;Lüfterprogramm Mo-So Zeitspanne 1;Fan Program MON-SUN Time Period 1;/program/fan/all/p1;;;00:00-24:00;;;;;
1DA1;180;6A0;;TimeRange;Lüfterprogramm Mo-So Zeitspanne 2;Fan Program MON-SUN Time Period 2;/program/fan/all/p2;;;---;;;;;
1DA2;180;6A0;;TimeRange;Lüfterprogramm Mo-So Zeitspanne 3;Fan Program MON-SUN Time Period 3;/program/fan/all/p3;;;---;;;;;
011B;180;6A0;;LittleEndian;Ferienprogramm Ferienbeginn Tag;Holidayprogram Holiday Beginning Day;/program/holiday/beginn/day;;;1;1;31;;;
011C;180;6A0;;LittleEndian;Ferienprogramm Ferienbeginn Monat;Holidayprogram Holiday Beginning Month;/program/holiday/beginn/month;;;1;1;12;;;
011D;180;6A0;;LittleEndian;Ferienprogramm Ferienbeginn Jahr;Holidayprogram Holiday Beginning Year;/program/holiday/beginn/year;;;11;0;99;;;
05D3;180;6A0;;TimeRangeLittleEndian;Ferienprogramm Ferienbeginn Zeit;Holidayprogram Holiday Beginning Time;/program/holiday/beginn/time;;;;00:00;24:00;;;
011E;180;6A0;;LittleEndian;Ferienprogramm Ferienende Tag;Holidayprogram Holiday Ending Day;/program/holiday/end/day;;;1;1;31;;;
011F;180;6A0;;LittleEndian;Ferienprogramm Ferienende Monat;Holidayprogram Holiday Ending Month;/program/holiday/end/month;;;1;1;12;;;
0120;180;6A0;;LittleEndian;Ferienprogramm Ferienende Jahr;Holidayprogram Holiday Ending Year;/program/holiday/end/year;;;11;0;99;;;
05D4;180;6A0;;TimeRangeLittleEndian;Ferienprogramm Ferienende Zeit;Holidayprogram Holiday Ending Time;/program/holiday/end/time;;;;00:00;24:00;;;
05D1;180;6A0;;TimeRangeLittleEndian;Partyprogramm Start;Party Program Start;/program/party/start;;;;00:00;23:45;;;
05D2;180;6A0;;TimeRangeLittleEndian;Partyprogramm Ende;Party Program End;/program/party/end;;;;00:00;23:45;;;
0110;180;6A0;Min;Default;Max Vorverlegung;Max. Advance;/program/maxadvance;;;;0;300;;;
;;;;;;;;;;;;;;;
0005;301;6A0;°C;Dec;Raumtemperatur Tag HK1;Room Temperature Day HC1;/room/hc1/temperature/day;;;21;10;30;;;
0008;301;6A0;°C;Dec;Raumtemperatur Nacht HK1;Room Temperature Night HC1;/room/hc1/temperature/night;;;21;10;30;;;
013D;301;6A0;°C;Dec;Raumtemperatur Bereitschaft HK1;Room Temperature Standby HC1;/room/hc1/temperature/standby;;;10;10;30;;;
0129;301;6A0;°C;Dec;Heizkreissoll Hand HK1;Manual Set HC1;/room/hc1/temperature/manual;;;35;10;65;;;
0011;301;6A0;°C;Dec;Raumtemperatur HK1;Room Temperature HC1;/room/hc1/temperature/measured;;;;;;;;yes
0005;302;6A0;°C;Dec;Raumtemperatur Tag HK2;Room Temperature Day HC2;/room/hc2/temperature/day;;;21;10;30;;;
0008;302;6A0;°C;Dec;Raumtemperatur Nacht HK2;Room Temperature Night HC2;/room/hc2/temperature/night;;;21;10;30;;;
013D;302;6A0;°C;Dec;Raumtemperatur Bereitschaft HK2;Room Temperature Standby HC2;/room/hc2/temperature/standby;;;10;10;30;;;
0129;302;6A0;°C;Dec;Heizkreissoll Hand HK2;Manual Set HC2;/room/hc2/temperature/manual;;;35;10;65;;;
0011;302;6A0;°C;Dec;Raumtemperatur HK2;Room Temperature HC2;/room/hc2/temperature/measured;;;;;;;;yes
;;;;;;;;;;;;;;;
010E;301;6A0;;Cent;Steigung HK1;Gradient HC1;/heatcircle/hc1/gradient;;;0,3;0;5;;;
059E;301;6A0;°C;Dec;Fusspunkt HK1;Low End HC1;/heatcircle/hc1/lowend;;;3;0;20;;;
010F;301;6A0;;Default;Raumeinfluss HK1;Room Influence HC1;/heatcircle/hc1/roominfluence;;;0;0;100;;;
059D;301;6A0;%;Default;Anteil Vorlauf HK1;Flow Proportion HC1;/heatcircle/hc1/flowproportion;;;30;0;100;;;
0028;301;6A0;°C;Dec;Sollwert Maximum HK1;Maximum Set Value HC1;/heatcircle/hc1/maximumset;;;55;10;65;;;
012B;301;6A0;°C;Dec;Sollwert Minimum HK1;Minimum Set Value HC1;/heatcircle/hc1/minimumset;;;10;0;40;;;
010E;302;6A0;;Cent;Steigung HK2;Gradient HC2;/heatcircle/hc2/gradient;;;0,3;0;5;;;
059E;302;6A0;°C;Dec;Fusspunkt HK2;Low End HC2;/heatcircle/hc2/lowend;;;3;0;20;;;
010F;302;6A0;;Default;Raumeinfluss HK2;Room Influence HC2;/heatcircle/hc2/roominfluence;;;0;0;100;;;
059D;302;6A0;%;Default;Anteil Vorlauf HK2;Flow Proportion HC2;/heatcircle/hc2/flowproportion;;;30;0;100;;;
0028;302;6A0;°C;Dec;Sollwert Maximum HK2;Maximum Set Value HC2;/heatcircle/hc2/maximumset;;;55;10;65;;;
012B;302;6A0;°C;Dec;Sollwert Minimum HK2;Minimum Set Value HC2;/heatcircle/hc2/minimumset;;;10;0;40;;;
;;;;;;;;;;;;;;;
C0DF;180;6A0;%/K;Dec;Proportionaler Anteil;Proportional Component;/heating/proportionalcomponent;;;2;0;10;;;
C0E0;180;6A0;Kmin;Default;Integralanteil Inverter;I Component Inverter;/heating/icomponentinverter;;;500;0;500;;;
059F;180;6A0;;Default;Maximale NE-Stufe HZ;Maximum Booster Stage Heating;/heating/maxboosterstage;;;3;0;3;;;
0027;180;6A0;°C;Dec;Maximale Vorlauftemperatur Heizung;Maximum Flow Temperature Heating;/heating/maxflowtemperature;;;60;10;75;;;
0116;180;6A0;°C;Dec;Sommerbetrieb;Summer Mode;/heating/summermode;;;17;10;25;;;
05A2;180;6A0;K;Dec;Hysterese Sommerbetrieb;Hysteresis Summer Mode;/heating/hysteresissummermode;;;4;1;7;;;
010C;180;6A0;h;Default;Dämpfung Außentemperatur;Outside Temperature Adjustment;/heating/outsidetemperatureadjustment;;;1;0;24;;;
01AC;180;6A0;°C;Dec;Bivalenzpunkt;Dual Mode Point;/heating/dualmodepoint;;;-10;-20;10;;;
05A0;180;6A0;min;Default;Zeitsperre Notheizung;Booster Timeout;/heating/boostertimeout;;;20;0;60;;;
05A3;180;6A0;°C;Dec;Korrektur Außentemperatur;Outside Temperature Correction;/heating/outsidetemperaturecorrection;;;0;-20;30;;;
0611;180;6A0;s;Default;Unterdrückung Temperatur Messung;Suppress Temperature Measure;/heating/suppresstemperaturemeasure;;;60;0;120;;;
C0D6;180;6A0;°C;Dec;Auslegungstemperatur Heizen;Design Temperature;/heating/designtemperature;;;-20;-25;5;;;
C0F1;180;6A0;%;Default;Leistung Auslegung Heizen;Heating System Output Sizing;/heating/heatingsystemoutputsizing;;;100;40;100;;;
;;;;;;;;;;;;;;;
0013;180;6A0;°C;Dec;Warmwasser Soll Tag;DWH Set Day;/dwh/temperature/day;;;45;10;65;;;
05BF;180;6A0;°C;Dec;Warmwasser Soll Nacht;DWH Set Night;/dwh/temperature/night;;;45;10;65;;;
0581;180;6A0;°C;Dec;Warmwasser Soll Bereitschaft;DWH Set Standby;/dwh/temperature/standby;;;10;10;65;;;
0580;180;6A0;°C;Dec;Warmwasser Soll Handbetrieb;DWH Set Manual;/dwh/temperature/manual;;;45;10;65;;;
000E;180;6A0;°C;Dec;Warmwasser Temperatur;DWH Temperature;/dwh/temperature/measured;;;;;;;;yes
;;;;;;;;;;;;;;;
0140;180;6A0;K;Dec;Hysterese;Hysteresis;/dwh/hysteresis;;;2;2;10;;;
0588;180;6A0;min;Default;Zeitsperren Notheizung;Booster Timeout;/dwh/boostertimeout;;;90;0;360;;;
0589;180;6A0;°C;Dec;Temperatur Freigabe Notheizung;Booster Temperature Activate;/dwh/boostertemperatureactive;;;-10;-20;10;;;
0586;180;6A0;d;Default;Antilegionellen;Pasteurisation;/dwh/pasteurisation;;;30;1;30;;;
0180;180;6A0;h;Default;Maximale Dauer Warmwasser-Erzeugung;Maximum DWH Heating Duration;/dwh/maxduration;;;12;6;12;;;
0587;180;6A0;°C;Dec;Warmwasser Temperatur Legionellen;Pasteurisation Temperature;/dwh/pasteurisationtemperature;;;30;10;65;;;
0666;180;6A0;Uhr;Time;Antilegionellen Zeit;Pasteurisation Time;/dwh/pasteurisationtime;;;02:00;00:00;23:45;;;
058A;180;6A0;;Default;Notheizung Stufe Warmwasser;DHW Booster Stage;/dwh/boosterstate;;;3;0;3;;;
058B;180;6A0;;Bool;Warmwasser Pufferbetrieb;DHW Buffer Mode;/dwh/buffermode;;;0;0;1;;;
058C;180;6A0;°C;Dec;Maximale Vorlauftemperatur Warmwasser;Maximum Flow Temperature DHW;/dwh/maxflowtemperature;;;75;10;75;;;
058D;180;6A0;;Bool;Warmwasser Eco;DHW Eco;/dwh/eco;;;1;0;1;;;
0690;180;6A0;%;Default;Warmwasser Leistung Sommer;DHW Output Summer;/dwh/outputsummer;;;60;30;100;;;
0691;180;6A0;%;Default;Warmwasser Leistung Winter;DHW Output Winter;/dwh/outputwinter;;;60;30;100;;;
C0DB;180;6A0;;Custom;Integralsensor;Integral Sensor;/dwh/integralsensor;;;Aus;;;0000=Aus,0001=Ein,0002=Regelung;;
C0DE;180;6A0;;Bool;2. WW-Speicher;2nd DHW Cylinder;/dwh/2ndcylinder;;;0;0;1;;;
;;;;;;;;;;;;;;;
C0FA;180;6A0;;Custom;Lüfterregelung;Fan Control;/fan/control;;;;;;0000=Volumenstrom,0001=Differenzdruck,?=Unbekannt;;
;;;;;;;;;;;;;;;
C0FB;180;6A0;Pa;Default;Differenzdruck Sollwert;Set Differential Pressure;/fan/differentialpreasure;;;;;;;;
C0FC;180;6A0;Pa/m²;Dec;I-Faktor;I Factor;/fan/ifactor;;;;;;;;
C0FD;180;6A0;Pa/m²;Dec;P-Faktor;P Factor;/fan/pfactor;;;;;;;;
;;;;;;;;;;;;;;;
056C;180;6A0;;Default;Stufe Tag;Day Stage;/fan/day;;;2;0;3;;;
056D;180;6A0;;Default;Stufe Nacht;Night Stage;/fan/night;;;1;0;3;;;
056F;180;6A0;;Default;Stufe Bereitschaft;Standby Stage;/fan/standby;;;0;0;3;;;
0570;180;6A0;;Default;Stufe Party;Party Stage;/fan/party;;;3;0;3;;;
0612;180;6A0;;Default;Stufe Hand;Manual Stage;/fan/manual;;;2;0;3;;;
;;;;;;;;;;;;;;;
0571;180;6A0;;Default;Lüftungszeit Außerplanmäßig Stufe 0;Unscheduled Ventilation Time Stage 0;/fan/unscheduled/stage1;;;60;0;1000;;;
0572;180;6A0;;Default;Lüftungszeit Außerplanmäßig Stufe 1;Unscheduled Ventilation Time Stage 1;/fan/unscheduled/stage2;;;60;0;1000;;;
0573;180;6A0;;Default;Lüftungszeit Außerplanmäßig Stufe 2;Unscheduled Ventilation Time Stage 2;/fan/unscheduled/stage3;;;60;0;1000;;;
0574;180;6A0;;Default;Lüftungszeit Außerplanmäßig Stufe 3;Unscheduled Ventilation Time Stage 3;/fan/unscheduled/stage4;;;60;0;1000;;;
;;;;;;;;;;;;;;;
0576;180;6A0;m³/h;Default;Lüfterstufe Zuluft 1;Fan Stage Ventilation Air 1;/fan/ventilation/stage1;;;140;10;300;;;
0577;180;6A0;m³/h;Default;Lüfterstufe Zuluft 2;Fan Stage Ventilation Air 2;/fan/ventilation/stage2;;;170;80;300;;;
0578;180;6A0;m³/h;Default;Lüfterstufe Zuluft 3;Fan Stage Ventilation Air 3;/fan/ventilation/stage3;;;220;80;300;;;
0579;180;6A0;m³/h;Default;Lüfterstufe Abluft 1;Fan Stage Extract Air 1;/fan/extract/stage1;;;140;10;300;;;
057A;180;6A0;m³/h;Default;Lüfterstufe Abluft 2;Fan Stage Extract Air 2;/fan/extract/stage2;;;170;80;300;;;
057B;180;6A0;m³/h;Default;Lüfterstufe Abluft 3;Fan Stage Extract Air 3;/fan/extract/stage3;;;220;80;300;;;
;;;;;;;;;;;;;;;
0575;180;6A0;;Custom;Passivkühlung;Passive Cooling;/fan/cooling;;;Aus;;;0000=Aus,0001=Ablüften,0002=Zulüften,0003=Bypass,0004=Sommerkassette,?=Unbekannt;;
05DB;180;6A0;;Bool;Passivkühlung Fortluft;Passive Cooling Expand Air;/fan/coolingexpandair;;;0;0;1;;;
C0F2;180;6A0;;Bool;Luftstop Sommer Warmwasser;Air Stop Summer DHW;/fan/coolingairstopsummer;;;0;0;1;;;
;;;;;;;;;;;;;;;
09D1;180;6A0;;Bool;Feuchteschutz;Humidity Protection;/fan/humidity/protection;;;0;0;1;;;
0650;180;6A0;%;Default;Feuchte Schwellwert;Humidity Threshold Value;/fan/humidity/thresholdvalue;;;55;30;70;;;
008E;180;6A0;%;Default;Feuchte Hysterese;Humidity Hysteresis;/fan/humidtiy/hysteresis;;;5;2;10;;;
064F;180;6A0;min;Default;Feuchte Maskierzeit;Humidity Masking Time;/fan/humidity/maskingtime;;;5;1;10;;;
09D2;180;6A0;%;Default;Feuchtesoll Minimum;Set Humidity Minimum;/fan/humidity/min;;;50;30;60;;;
06A4;180;6A0;%;Default;Leistungsreduktion;Output Reduction;/fan/humidtiy/outputreduction;;;0;50;0;;;
09D3;180;6A0;%;Default;Fechtesoll Maximum;Set Humidity Maximum;/fan/humidity/max;;;60;60;90;;;
06A5;180;6A0;%;Default;Leistungserhöhung;Output Increase;/fan/humidity/outputincrease;;;0;0;100;;;
;;;;;;;;;;;;;;;
057C;180;6A0;;Custom;Lüften;Stove / Fireplace;/fan/stove;;;Aus;;;0000=Aus,0001=Schließer-Aus,0002=Öffner-Aus,0003=Schließer-Überwach.,0004=Öffner-Überwach.,?=Unbekannt;;
;;;;;;;;;;;;;;;
057D;180;6A0;min;Default;Maximale Abtaudauer;Maximum Defrost Duration;/fan/maxdefrostduration;;;60;60;250;;;
057E;180;6A0;%;Default;Abtaubeginnschwelle;Defrost Start Threshold;/fan/defrostthreshold;;;20;0;50;;;
057F;180;6A0;%;Default;Drehzahlfilter;Filter Speed;/fan/filterspeed;;;20;0;100;;;
C0FE;180;6A0;1000m³;Default;Filterwechsel-Volumen;Filter Change Volume;/fan/filtervolume;;;;;;;;
;;;;;;;;;;;;;;;
0341;180;6A0;d;Default;Laufzeit Filter;Runtime Filter;/fan/runtimefilterdays;;;0;0;1204;;;
C111;180;6A0;%;Default;Laufzeit Filter;Runtime Filter;/fan/runtimefilterpercent;;;;;;;;
033B;180;6A0;;Bool;Reset Filter;Reset Filter;/fan/resetfilter;;;0;0;1;;;
;;;;;;;;;;;;;;;
0569;301;6A0;°C;Dec;Raumtemperatur Tag HK1;Room Temperature Day HC1;/cooling/hc1/temperature/day;;;25;10;30;;;
056B;301;6A0;°C;Dec;Raumtemperatur Nacht HK1;Room Temperature Night HC1;/cooling/hc1/temperature/night;;;25;10;30;;;
056A;301;6A0;°C;Dec;Raumtemperatur Bereitschaft HK1;Room Temperature Standby HC1;/cooling/hc1/temperature/standby;;;30;10;30;;;
0011;301;6A0;°C;Dec;Raumtemperatur HK1;Room Temperature HC1;/room/hc1/temperature/measured;;;;;;;;yes
0569;302;6A0;°C;Dec;Raumtemperatur Tag HK2;Room Temperature Day HC2;/cooling/hc2/temperature/day;;;25;10;30;;;
056B;302;6A0;°C;Dec;Raumtemperatur Nacht HK2;Room Temperature Night HC2;/cooling/hc2/temperature/night;;;25;10;30;;;
056A;302;6A0;°C;Dec;Raumtemperatur Bereitschaft HK2;Room Temperature Standby HC2;/cooling/hc2/temperature/standby;;;30;10;30;;;
0011;302;6A0;°C;Dec;Raumtemperatur HK2;Room Temperature HC2;/room/hc2/temperature/measured;;;;;;;;yes
;;;;;;;;;;;;;;;
0287;301;6A0;;Bool;Kühlbetrieb HK1;Cooling Mode HC1;/cooling/hc1/enable;;;0;0;1;;;
0613;301;6A0;;Custom;Kühlsystem HK1;Cooling System HC1;/cooling/hc1/system;;;0;;;0000=Flächenkühlung,0001=Gebläsekühlung,?=Unbekannt;;
0582;301;6A0;°C;Dec;Temperatur Kühlen HK1;Temperature Cooling HC1;/cooling/hc1/temperature;;;18;10;25;;;
0584;301;6A0;K;Dec;Hysterese Raumtemperatur HK1;Hysteresis Room Temperature HC1;/cooling/hc1/hysteresistemperature;;;0,5;0,5;3;;;
0287;302;6A0;;Bool;Kühlbetrieb HK2;Cooling Mode HC2;/cooling/hc2/enable;;;0;0;1;;;
0613;302;6A0;;Custom;Kühlsystem HK2;Cooling System HC2;/cooling/hc2/system;;;0;;;0000=Flächenkühlung,0001=Gebläsekühlung,?=Unbekannt;;
0582;302;6A0;°C;Dec;Temperatur Kühlen HK2;Temperature Cooling HC2;/cooling/hc2/temperature;;;18;10;25;;;
0584;302;6A0;K;Dec;Hysterese Raumtemperatur HK2;Hysteresis Room Temperature HC2;/cooling/hc2/hysteresistemperature;;;0,5;0,5;3;;;
;;;;;;;;;;;;;;;
0692;180;6A0;%;Default;Leistung Kühlen;Cooling Capacity;/cooling/capacity;;;30;30;50;;;
C0F3;180;6A0;%;Dec;Prop-Band Kühlen;??? Cooling;/cooling/proportionalcooling;;;10;0,1;100;;;
0583;180;6A0;K;Dec;Hysterese Vorlauftemperatur;Hysteresis Flow Temperature;/cooling/hysteresisflowtemperature;;;0,5;5;1,5;;;
;;;;;;;;;;;;;;;
03C1;180;6A0;;Bool;Freigabe Solar;Solar Activation;/solar/enable;;;0;0;1;;;
01B8;180;6A0;K;Dec;Temperatur Differenz;Temperature Differential;/solar/temperaturediff;;;8;2;15;;;
058E;180;6A0;min;Default;Verzögerung Verdichter Warmwasser;DHW Compressor Delay;/solar/dwhcompressordelay;;;60;0;500;;;
05BE;180;6A0;°C;Dec;Warmwasser Temperatur;DHW Solar Temperature;/solar/dwhtemperature;;;60;10;75;;;
058F;180;6A0;K;Dec;Hysterese Solar;Solar Hysteresis;/solar/hysteresis;;;5;0,6;10;;;
02F6;180;6A0;°C;Dec;Kollektorgrenztemperatur;Collector Temperature Limit;/solar/collectorlimit;;;70;50;80;;;
03BB;180;6A0;°C;Dec;Kollektorschutztemperatur;Collector Protect Temperature;/solar/collectorprotect;;;120;100;150;;;
03B8;180;6A0;°C;Dec;Kollektorsperrtemperatur;Collector Cut-Off Temperature;/solar/collectorcutoff;;;180;130;200;;;
02F5;180;6A0;;Bool;Kollektorschutz;Collector Protection;/solar/collectorprotectenable;;;0;0;1;;;
064C;180;6A0;;Custom;Vorrang Solar;Priority Solar;/solar/priority;;;Solar;;;0000=Solar,0001=Kühlen,0002=Kühlzeit,?=Unbekannt;;
064D;180;6A0;Uhr;TimeDomain;Kühlzeit;Cooling Time;/solar/coolingtime;;;;00:00;23:59;;;
;;;;;;;;;;;;;;;
011A;180;6A0;;Bool;Trockenheizprogramm;Screed Drying Program;/concrete/enable;;;0;0;1;;;
01BB;180;6A0;°C;Dec;Sockeltemperatur;Low End Temperature;/concrete/lowend;;;25;20;40;;;
01BD;180;6A0;°C;Dec;Maximale Temperatur;High End Temperature;/concrete/highend;;;40;25;55;;;
01BC;180;6A0;Tage;Default;Dauer Sockeltemperatur;Temperature Rising Period;/concrete/risingperiod;;;3;0;30;;;
01BE;180;6A0;Tage;Default;Dauer Maximale Temperatur;Maximum High End Temperature;/concrete/maxhighendperiod;;;3;0;30;;;
01BA;180;6A0;K/d;Default;Steigung;Gradient;/concrete/gradient;;;1;1;10;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
0109;180;6A0;°C;Dec;Korrektur Raumtemperatur Bedienteil;Room Temperature Correction;/controller/roomtemperaturecorrection;;;0;-5;5;;;
;;;;;;;;;;;;;;;
019A;180;6A0;;Cent;Softwarestand;Software Version;/system/version;;;;;;;;yes
024B;180;6A0;;Default;Software-ID;Software ID;/system/id;;;;;;;;yes
00FB;180;6A0;;Bool;Reset Regler;Reset Controller;/system/resetcontroller;;;0;0;1;;;
00EF;180;6A0;;Bool;Werkseinstellung;Factory Setting;/system/factorydefault;;;0;0;1;;;
07CB;180;6A0;;Custom;Gerätetyp;Appliance Type;/system/appliancetype;;;0;7;37;0007=504Inv,?=Unbekannt;;
001A;180;6A0;;Default;Kundennummer;Customer ID;/system/customerid;;;;;;;;
;;;;;;;;;;;;;;;
0122;180;6BC;;LittleEndian;Tag;Day;/time/day;;;1;1;31;;;
0123;180;6BC;;LittleEndian;Monat;Month;/time/month;;;1;1;12;;;
0124;180;6BC;;LittleEndian;Jahr;Year;/time/year;;;0;0;99;;;
0125;180;6BC;;LittleEndian;Stunde;Hour;/time/hour;;;0;0;23;;;
0126;180;6BC;;LittleEndian;Minute;Minute;/time/minute;;;0;0;59;;;
FDDF;180;6A0;;Custom;Sommerzeit Manuell Beginn (Monat);Summertime Manual Begin (Month);/time/summertime/beginmonth;;;3;1;12;0100=Januar,0200=Februar,0300=März,0400=April,0500=Mai,0600=Juni,0700=Juli,0800=August,0900=September,0A00=Oktober,0B00=November,0C00=Dezember;0100=January,0200=February,0300=March,0400=April,0500=May,0600=June,0700=July,0800=August,0900=September,0A00=October,0B00=November,0C00=December;
FDDE;180;6A0;;LittleEndian;Sommerzeit Manuell Beginn (Tag);Summertime Manual Begin (Day);/time/summertime/beginday;;;21;1;31;;;
FDD0;180;6A0;;LittleEndian;Sommerzeit Manuell Ende (Tag);Summertime Manual End (Month);/time/summertime/endmonth;;;25;1;31;;;
FDD1;180;6A0;;Custom;Sommerzeit Manuell Ende (Monat);Summertime Manual End (Day);/time/summertime/endday;;;10;1;12;0100=Januar,0200=Februar,0300=März,0400=April,0500=Mai,0600=Juni,0700=Juli,0800=August,0900=September,0A00=Oktober,0B00=November,0C00=Dezember;0100=January,0200=February,0300=March,0400=April,0500=May,0600=June,0700=July,0800=August,0900=September,0A00=October,0B00=November,0C00=December;
0944;180;6A0;;Bool;Sommerzeit Automatik;Summertime Automatic;/time/summertime/auto;;;1;0;1;;;
