Index;Sender;Receiver;Unit;Converter;NameDE;NameEN;MqttTopic;DescriptionDE;DescriptionEN;Default;MinValue;MaxValue;ValuesDE;ValuesEN;ReadOnly
0640;180;6A0;Wh;Default;Wärmemenge Solar Heizung Tag;Heat Meter Solar Heating Day;/meter/solar/heat/day/Wh;;;;;;;;
0641;180;6A0;KWh;Default;Wärmemenge Solar Heizung Tag;Heat Meter Solar Heating Day;/meter/solar/heat/day/KWh;;;;;;;;
0642;180;6A0;KWh;Default;Wärmemenge Solar Heizung Summe;Heat Meter Solar Heating Total;/meter/solar/heat/total/KWh;;;;;;;;
0643;180;6A0;MWh;Default;Wärmemenge Solar Heizung Summe;Heat Meter Solar Heating Total;/meter/solar/heat/total/MWh;;;;;;;;
0644;180;6A0;Wh;Default;Wärmemenge Solar Warmwasser Tag;Heat Meter Solar DHW Day;/meter/solar/dwh/day/Wh;;;;;;;;
0645;180;6A0;KWh;Default;Wärmemenge Solar Warmwasser Tag;Heat Meter Solar DHW Day;/meter/solar/dwh/day/KWh;;;;;;;;
0646;180;6A0;KWh;Default;Wärmemenge Solar Warmwasser Summe;Heat Meter Solar DHW Total;/meter/solar/dwh/total/KWh;;;;;;;;
0647;180;6A0;MWh;Default;Wärmemenge Solar Warmwasser Summe;Heat Meter Solar DHW Total;/meter/solar/dwh/total/MWh;;;;;;;;
0648;180;6A0;KWh;Default;Wärmemenge Kühlen Summe;Heat Meter Cooling Total;/meter/cooling/total/KWh;;;;;;;;
0649;180;6A0;MWh;Default;Wärmemenge Kühlen Summe;Heat Meter Cooling Total;/meter/cooling/total/MWh;;;;;;;;
;;;;;;;;;;;;;;;
05A4;180;6A0;h;Default;Verdichter Heizen;Compressor Heating;/compressor/heating/time;;;;;;;;
05A5;180;6A0;h;Default;Verdichter Kühlen;Compressor Cooling;/compressor/cooling/time;;;;;;;;
05A6;180;6A0;h;Default;Verdichter Warmwasser;Compressor DHW;/compressor/dwh/time;;;;;;;;
05A8;180;6A0;h;Default;Elektrische Notheizung Heizen;Electric Booster Heating;/boost/heating/time;;;;;;;;
05A7;180;6A0;h;Default;Elektrische Notheizung Warmwasser;Electric Booster DHW;/boost/dwh/time;;;;;;;;
;;;;;;;;;;;;;;;
091F;180;6A0;KWh;Default;Stomverbrauch Heizung Tag;Power Consumption Heating Day;/meter/heating/power/day/KWh;;;;;;;;
091E;180;6A0;Wh;Default;Stomverbrauch Heizung Tag;Power Consumption Heating Day;/meter/heating/power/day/Wh;;;;;;;;
0921;180;6A0;MWh;Default;Stromverbrauch Heizung Summe;Power Consumption Heating Total;/meter/heating/power/total/MWh;;;;;;;;
0920;180;6A0;KWh;Default;Stromverbrauch Heizung Summe;Power Consumption Heating Total;/meter/heating/power/total/KWh;;;;;;;;
091A;180;6A0;Wh;Default;Stromverbrauch Warmwasser Tag;Power Consumption DHW Day;/meter/dwh/power/day/Wh;;;;;;;;
091B;180;6A0;KWh;Default;Stromverbrauch Warmwasser Tag;Power Consumption DHW Day;/meter/dwh/power/day/KWh;;;;;;;;
091D;180;6A0;MWh;Default;Stromverbrauch Warmwasser Summe;Power Consumption DHW Total;/meter/dwh/power/total/MWh;;;;;;;;
091C;180;6A0;KWh;Default;Stromverbrauch Warmwasser Summe;Power Consumption DHW Total;/meter/dwh/power/total/KWh;;;;;;;;
;;;;;;;;;;;;;;;
1410;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Montag Zeitspanne 1;Heating Program Heating Circuit 1 Monday Time Period 1;/program/heating/hc1/mon/p1;;;00:00-24:00;;;;;
1411;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Montag Zeitspanne 2;Heating Program Heating Circuit 1 Monday Time Period 2;/program/heating/hc1/mon/p2;;;---;;;;;
1412;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Montag Zeitspanne 3;Heating Program Heating Circuit 1 Monday Time Period 3;/program/heating/hc1/mon/p3;;;---;;;;;
1420;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Dienstag Zeitspanne 1;Heating Program Heating Circuit 1 Tuesday Time Period 1;/program/heating/hc1/tue/p1;;;00:00-24:00;;;;;
1421;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Dienstag Zeitspanne 2;Heating Program Heating Circuit 1 Tuesday Time Period 2;/program/heating/hc1/tue/p2;;;---;;;;;
1422;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Dienstag Zeitspanne 3;Heating Program Heating Circuit 1 Tuesday Time Period 3;/program/heating/hc1/tue/p3;;;---;;;;;
1430;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mittwoch Zeitspanne 1;Heating Program Heating Circuit 1 Wednesday Time Period 1;/program/heating/hc1/wed/p1;;;00:00-24:00;;;;;
1431;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mittwoch Zeitspanne 2;Heating Program Heating Circuit 1 Wednesday Time Period 2;/program/heating/hc1/wed/p2;;;---;;;;;
1432;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mittwoch Zeitspanne 3;Heating Program Heating Circuit 1 Wednesday Time Period 3;/program/heating/hc1/wed/p3;;;---;;;;;
1440;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Donnerstag Zeitspanne 1;Heating Program Heating Circuit 1 Thursday Time Period 1;/program/heating/hc1/thu/p1;;;00:00-24:00;;;;;
1441;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Donnerstag Zeitspanne 2;Heating Program Heating Circuit 1 Thursday Time Period 2;/program/heating/hc1/thu/p2;;;---;;;;;
