elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x0572, 0x003c},  // LUEFT_ZEIT_AUSSERPLAN_STUFE0: 60
  { 0x180, 0x0573, 0x003c},  // LUEFT_ZEIT_AUSSERPLAN_STUFE1: 60
  { 0x180, 0x0574, 0x003c},  // LUEFT_ZEIT_AUSSERPLAN_STUFE2: 60
  { 0x180, 0x0575, 0x0000},  // LUEFT_ZEIT_AUSSERPLAN_STUFE3: 0
  { 0x180, 0x0576, 0x008c},  // LUEFT_PASSIVKUEHLUNG: 140
  { 0x180, 0x0577, 0x00aa},  // LUEFT_ZULUFT_STUFE1: 170
  { 0x180, 0x0578, 0x00dc},  // LUEFT_ZULUFT_STUFE2: 220
  { 0x180, 0x0579, 0x008c},  // LUEFT_ZULUFT_STUFE3: 140
  { 0x180, 0x057a, 0x00aa},  // LUEFT_ABLUFT_STUFE1: 170
  { 0x180, 0x057b, 0x00dc},  // LUEFT_ABLUFT_STUFE2: 220
  { 0x180, 0x057c, 0x0000},  // LUEFT_ABLUFT_STUFE3: 0
  { 0x180, 0x057d, 0x003c},  // OFEN_FUNKTION: 60
  { 0x180, 0x057e, 0x0014},  // MAX_ABTAUDAUER: 20
  { 0x180, 0x057f, 0x0014},  // ABTAUBEGINNSCHWELLE: 20
  { 0x180, 0x0580, 0x01c2},  // DREHZAHL_FILTERWECHSEL: 450
  { 0x180, 0x0581, 0x0064},  // EINSTELLSPEICHER_HAND: 100
  { 0x180, 0x0586, 0x001e},  // MAX_ABTAUDAUER_LUFT: 30
  { 0x180, 0x0587, 0x0064},  // ANTILEG_INTERVALL_TAGE: 100
  { 0x180, 0x0588, 0x0078},  // ANTILEG_TEMP: 120
  { 0x180, 0x0589, 0xff9c},  // NHZ_VERZOEGERUNG_WW: -100
  { 0x180, 0x058a, 0x0003},  // NHZ_AUSSENTEMP_SOFORT_WW: 3
  { 0x180, 0x058b, 0x0000},  // NHZ_ANZAHL_STUFEN_WW: 0
  { 0x180, 0x058c, 0x02ee},  // WW_SPEICHER_ALS_PUFFER: 750
  { 0x180, 0x058d, 0x0001},  // MAX_VORLAUFTEMP_BEI_WW: 1
