76,'2019-12-14',53915765,384,78,208,60,250,1,33,5,0,NULL
77,'2019-12-14',53915782,384,78,208,60,250,1,34,14,0,NULL
78,'2019-12-14',53915798,384,78,208,60,250,1,35,12,0,NULL
79,'2019-12-14',53915814,384,78,208,60,250,1,36,19,0,NULL
80,'2019-12-14',53924582,1697,78,49,0,250,0,12,0,0,NULL
81,'2019-12-14',53924587,1697,78,97,1,250,0,17,0,0,NULL
82,'2019-12-14',53924592,384,78,210,33,250,0,12,0,73,NULL
83,'2019-12-14',53924599,1697,78,49,0,250,0,14,0,0,NULL
84,'2019-12-14',53924608,769,78,210,33,250,0,17,0,190,NULL
85,'2019-12-14',53924614,384,78,210,33,250,0,14,1,254,NULL
86,'2019-12-14',53934586,1697,30,49,0,250,0,12,0,0,NULL
87,'2019-12-14',53934591,1697,30,97,1,250,0,17,0,0,NULL
88,'2019-12-14',53934597,1697,30,49,0,250,0,14,0,0,NULL
89,'2019-12-14',53934603,384,30,210,33,250,0,12,0,72,NULL
90,'2019-12-14',53934608,769,30,210,33,250,0,17,0,190,NULL
91,'2019-12-14',53934615,384,30,210,33,250,0,14,1,255,NULL
92,'2019-12-14',53943591,1697,78,49,0,250,0,12,0,0,NULL
93,'2019-12-14',53943598,1697,78,97,1,250,0,17,0,0,NULL
94,'2019-12-14',53943603,1697,78,49,0,250,0,14,0,0,NULL
95,'2019-12-14',53943609,384,78,210,33,250,0,12,0,72,NULL
96,'2019-12-14',53943614,769,78,210,33,250,0,17,0,190,NULL
97,'2019-12-14',53943623,384,78,210,33,250,0,14,1,254,NULL
98,'2019-12-14',53954596,1697,78,49,0,250,0,12,0,0,NULL
99,'2019-12-14',53954601,1697,78,97,1,250,0,17,0,0,NULL
100,'2019-12-14',53954606,384,78,210,33,250,0,12,0,72,NULL
101,'2019-12-14',53954613,1697,78,49,0,250,0,14,0,0,NULL
102,'2019-12-14',53954619,769,78,210,33,250,0,17,0,190,NULL
103,'2019-12-14',53954624,384,78,210,33,250,0,14,1,254,NULL
104,'2019-12-14',53959304,384,78,208,60,250,1,38,59,0,NULL
105,'2019-12-14',53964598,1697,78,49,0,250,0,12,0,0,NULL
106,'2019-12-14',53964605,1697,78,97,1,250,0,17,0,0,NULL
107,'2019-12-14',53964610,1697,78,49,0,250,0,14,0,0,NULL
108,'2019-12-14',53964616,384,78,210,33,250,0,12,0,71,NULL
